Sample;Timestamp;Drift;Drift Error;Offset;Offset Error
306;1.55629e+15;0.999996;5.04469e-05;-805.641;811.677
307;1.55629e+15;0.999996;4.99442e-05;-805.794;811.525
308;1.55629e+15;0.999996;4.99442e-05;-805.794;811.525
309;1.55629e+15;0.999996;4.99442e-05;-805.794;811.525
310;1.55629e+15;0.999996;4.94496e-05;-805.694;811.425
311;1.55629e+15;0.999996;4.94496e-05;-805.694;811.425
312;1.55629e+15;0.999996;4.93535e-05;-805.674;811.406
313;1.55629e+15;0.999996;4.93535e-05;-805.674;811.406
314;1.55629e+15;0.999996;4.93535e-05;-805.674;811.406
315;1.55629e+15;0.999996;4.93535e-05;-805.674;811.406
316;1.55629e+15;0.999996;4.93535e-05;-805.674;811.406
317;1.55629e+15;0.999996;4.93535e-05;-805.674;811.406
318;1.55629e+15;0.999996;4.89147e-05;-805.807;811.273
319;1.55629e+15;0.999996;4.89147e-05;-805.807;811.273
320;1.55629e+15;0.999996;4.89147e-05;-805.807;811.273
321;1.55629e+15;0.999996;4.89147e-05;-805.807;811.273
322;1.55629e+15;0.999996;4.89147e-05;-805.807;811.273
323;1.55629e+15;0.999996;4.87725e-05;-805.851;811.23
324;1.55629e+15;0.999996;4.87725e-05;-805.851;811.23
325;1.55629e+15;0.999996;4.87725e-05;-805.851;811.23
326;1.55629e+15;0.999996;4.84046e-05;-805.776;811.155
327;1.55629e+15;0.999996;4.84046e-05;-805.776;811.155
328;1.55629e+15;0.999996;4.78802e-05;-805.935;810.996
329;1.55629e+15;0.999996;4.78802e-05;-805.935;810.996
330;1.55629e+15;0.999997;4.76265e-05;-806.012;810.92
331;1.55629e+15;0.999997;4.76265e-05;-806.012;810.92
332;1.55629e+15;0.999997;4.76265e-05;-806.012;810.92
333;1.55629e+15;0.999997;4.76265e-05;-806.012;810.92
334;1.55629e+15;0.999997;4.76265e-05;-806.012;810.92
335;1.55629e+15;0.999997;4.76265e-05;-806.012;810.92
336;1.55629e+15;0.999997;4.75625e-05;-806.031;810.9
337;1.55629e+15;0.999996;4.67451e-05;-805.866;810.735
338;1.55629e+15;0.999996;4.66294e-05;-805.901;810.7
339;1.55629e+15;0.999996;4.64941e-05;-805.942;810.659
340;1.55629e+15;0.999996;4.64941e-05;-805.942;810.659
341;1.55629e+15;0.999996;4.64458e-05;-805.957;810.644
342;1.55629e+15;0.999996;4.61467e-05;-806.048;810.554
343;1.55629e+15;0.999996;4.61467e-05;-806.048;810.554
344;1.55629e+15;0.999996;4.61467e-05;-806.048;810.554
345;1.55629e+15;0.999996;4.61467e-05;-806.048;810.554
346;1.55629e+15;0.999996;4.53164e-05;-805.88;810.386
347;1.55629e+15;0.999996;4.53164e-05;-805.88;810.386
348;1.55629e+15;0.999996;4.52431e-05;-805.902;810.364
349;1.55629e+15;0.999996;4.50552e-05;-805.959;810.307
350;1.55629e+15;0.999996;4.50552e-05;-805.959;810.307
351;1.55629e+15;0.999996;4.5035e-05;-805.965;810.301
352;1.55629e+15;0.999996;4.48708e-05;-806.015;810.251
353;1.55629e+15;0.999996;4.48708e-05;-806.015;810.251
354;1.55629e+15;0.999996;4.44465e-05;-806.144;810.123
355;1.55629e+15;0.999996;4.44465e-05;-806.144;810.123
356;1.55629e+15;0.999996;4.44465e-05;-806.144;810.123
357;1.55629e+15;0.999997;4.40671e-05;-806.259;810.008
358;1.55629e+15;0.999997;4.40671e-05;-806.259;810.008
359;1.55629e+15;0.999997;4.40671e-05;-806.259;810.008
360;1.55629e+15;0.999997;4.40671e-05;-806.259;810.008
361;1.55629e+15;0.999997;4.39878e-05;-806.283;809.984
362;1.55629e+15;0.999997;4.39878e-05;-806.283;809.984
363;1.55629e+15;0.999997;4.39878e-05;-806.283;809.984
364;1.55629e+15;0.999997;4.38114e-05;-806.336;809.93
365;1.55629e+15;0.999997;4.38114e-05;-806.336;809.93
366;1.55629e+15;0.999997;4.38114e-05;-806.336;809.93
367;1.55629e+15;0.999997;4.34934e-05;-806.433;809.834
368;1.55629e+15;0.999997;4.34934e-05;-806.433;809.834
369;1.55629e+15;0.999997;4.34934e-05;-806.433;809.834
370;1.55629e+15;0.999997;4.34934e-05;-806.433;809.834
371;1.55629e+15;0.999997;4.34934e-05;-806.433;809.834
372;1.55629e+15;0.999997;4.34934e-05;-806.433;809.834
373;1.55629e+15;0.999997;4.34934e-05;-806.433;809.834
374;1.55629e+15;0.999998;4.3193e-05;-806.524;809.743
